26,,,D13,,PB7,,,PWM,,,PCINT7,OC0A,OC1C,
25,,,D12,,PB6,,,PWM,,,PCINT6,OC1B,,
24,,,D11,,PB5,,,PWM,,,PCINT5,OC1A,,
23,,,D10,,PB4,,,PWM,,,PCINT4,OC2A,,
18,,,D9,,PH6,,,PWM,,,,OC2B,,
17,,,D8,,PH5,,,PWM,,,,OC4C,,
Right,,,,,,,,,,,,,,
16,,,D7,,PH4,,,PWM,,,,OC4B,,
15,,,D6,,PH3,,,PWM,,,,OC4A,,
5,,,D5,,PE3,,,PWM,,,,AIN1,OC3A,
1,,,D4,,PG5,,,PWM,,,,OC0B,,
7,,,D3,,PE5,,,PWM,,INT5,,OC3C,,
6,,,D2,,PE4,,,PWM,,INT4,,OC3B,,
3,,,D1,,PE1,TXD0,,,,,,,,
2,,,D0,,PE0,RXD0,,,,,PCINT8,,,
Right,,,,,,,,,,,,,,
64,,,D14,,PJ1,TXD3,,,,,PCINT10,,,
63,,,D15,,PJ0,RXD3,,,,,PCINT9,,,
13,,,D16,,PH1,TXD2,,,,,,,,
12,,,D17,,PH0,RXD2,,,,,,,,
46,,,D18,,PD3,TX1,,,,INT3,,,,
45,,,D19,,PD2,RX1,,,,INT2,,,,
44,,,D20,,PD1,,SDA,,,INT1,,,,
43,,,D21,,PD0,,SCL,,,INT0,,,,
Right,,,,,,,,,,,,,,
54,,,D36,,PC1,,,,,,,A9,,
56,,,D34,,PC3,,,,,,,A11,,
58,,,D32,,PC5,,,,,,,A13,,
60,,,D30,,PC7,,,,,,,A15,,
72,,,D28,,PA6,,,,,,,AD6,,
74,,,D26,,PA4,,,,,,,AD4,,
76,,,D24,,PA2,,,,,,,AD2,,
78,,,D22,,PA0,,,,,,,AD0,,
Right,,,,,,,,,,,,,,
77,,,D23,,PA1,,,,,,,AD1,,
75,,,D25,,PA3,,,,,,,AD3,,
73,,,D27,,PA5,,,,,,,AD5,,
71,,,D29,,PA7,,,,,,,AD7,,
59,,,D31,,PC6,,,,,,,A14,,
57,,,D33,,PC4,,,,,,,A12,,
55,,,D35,,PC2,,,,,,,A10,,
53,,,D37,,PC0,,,,,,,A8,,
Right,,,,,,,,,,,,,,
4,,,,,PE2,,,,,,,AIN0,XCK0,
8,,,,,PE6,,,,,INT6,,T3,,
9,,,,,PE7,,,,,INT7,,ICP3,CLKO,
10,VCC,,,,,,,,,,,,,
11,,GND,,,,,,,,,,,,
14,,,,,PH2,,,,,,,XCK2,,
27,,,,,PH7,,,,,,,T4,,
28,,,,,PG3,,,,,,,TOSC2,,
29,,,,,PG4,,,,,,,TOSC1,,
31,VCC,,,,,,,,,,,,,
32,,GND,,,,,,,,,,,,
33,,,,,,,,,,,,,XTAL2,
34,,,,,,,,,,,,,XTAL1,
47,,,,,PD4,,,,,,,ICP1,,
48,,,,,PD5,,,,,,,XCK1,,
49,,,,,PD6,,,,,,,T1,,
61,VCC,,,,,,,,,,,,,
62,,GND,,,,,,,,,,,,
65,,,,,PJ2,,,,,,PCINT11,XCK3,,
66,,,,,PJ3,,,,,,PCINT12,,,
67,,,,,PJ4,,,,,,PCINT13,,,
68,,,,,PJ5,,,,,,PCINT14,,,
69,,,,,PJ6,,,,,,PCINT 15,,,
79,,,,,PJ7,,,,,,,,,
80,VCC,,,,,,,,,,,,,
81,,GND,,,,,,,,,,,,
99,,GND,,,,,,,,,,,,
100,AVCC,,,,,,,,,,,,,
Text,,,,,,,,,,,,,,
Power,Raw:5V-16V (6V-12V recommended),VCC:5V,,,,,,,,,,,,
LEDs,Power: Red,User (D13): Green,,,,,,,,,,,,
Programmed as Arduino ATMega2560,16MHz/ 5V,,,,,,,,,,,,,
Reset Button,,,,,,,,,,,,,,
Extras,,,,,,,,,,,,,,
Atmega2560-TQFP-dokumentation-bkb,,,,,,,,,,,,,,
FTDI,Logo,Legend,,,,,,,,,,,,
EOF,,,,,,,,,,,,,,
